dn,dist,play_type,result,gain/loss,odk,off,def,td,xp,2pt,fg,sm_score,opponent_score,differential,yard_ln,hash,series,off_str,off_form,off_play,play_direction,ret_yards,team,opp_team,home,away,play_#,qtr,personnel,motion,motion_dir,passer_jersey,passer_name,receiver_jersey,receiver_name,rusher_jersey,rusher_name,backfield,eff,opp_rusher,opp_passer,opp_receiver,comment,tempo,protection,def_call,fs_jersey,fs_name,fs_grd,rb*_jersey,rb*_name,rb*_grade,play_category,km_notes,ball_carrier_jersey,ball_carrier_name,bs,stud_grd,concept,2_min_o,rpo,def_front,blitz,game,game_id,play_id,game_seconds_remaining,score_differential,yardline_100,play_type_encoded
1,10,Pass,Complete,1.0,O,SMHS,MVHS,,,,,0,21,-21,-28,L,7,R,TURTLE,SUPERMAN,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,103,3,,F HOP,R,1.0,John Gazzaniga,4.0,Trent Mosley,,,,N,,,,,,THOR,,,,,22.0,"Jaion ""Duce"" Smith",0.0,DROPBACK,STAY WITH WIDTH,4.0,Trent Mosley,,,,,,,,Mission Viejo High School,6,44,,-21,128,1.0
2,9,Pass,Complete,7.0,O,SMHS,MVHS,,,,,0,21,-21,-29,R,7,L,HOUSE,CALI,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,104,3,,,,6.0,Hayes Cloutier,22.0,"Jaion ""Duce"" Smith",,,EMPTY,Y,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",1.0,DROPBACK,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Mission Viejo High School,6,45,,-21,129,1.0
3,2,Pass,Scramble,4.0,O,SMHS,MVHS,,,,,0,21,-21,-36,L,7,R,HOUSE,CALI,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,105,3,,,,1.0,John Gazzaniga,,,,,EMPTY,Y,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",0.0,DROPBACK,,6.0,Hayes Cloutier,,,,,,,,Mission Viejo High School,6,46,,-21,136,1.0
1,10,Pass,Complete,8.0,O,SMHS,MVHS,,,,,0,21,-21,-40,M,7,BAL,OPEN,F OPTION,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,106,3,,,,6.0,Hayes Cloutier,4.0,Trent Mosley,,,,Y,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",1.0,QUICK,,4.0,Trent Mosley,,,,,,,,Mission Viejo High School,6,47,,-21,140,1.0
2,2,Pass,Incomplete,0.0,O,SMHS,MVHS,,,,,0,21,-21,-48,R,7,BAL,OPEN,Y OPTION,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,107,3,,,,6.0,Hayes Cloutier,,,,,,N,,,,,,SCAT,,,,,22.0,"Jaion ""Duce"" Smith",0.0,QUICK,,,,,,,,,,,Mission Viejo High School,6,48,,-21,148,1.0
3,2,Run,Rush,11.0,O,SMHS,MVHS,,,,,0,21,-21,-48,R,7,L,NUB,RENO,R,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,108,3,,,,,,,,22.0,"Jaion ""Duce"" Smith",P,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",1.0,RPO,,22.0,"Jaion ""Duce"" Smith",,,,,,,,Mission Viejo High School,6,49,,-21,148,0.0
1,10,Pass,Complete,32.0,O,SMHS,MVHS,,,,,0,21,-21,41,R,7,L,NUB,RENO,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,109,3,,,,6.0,Hayes Cloutier,4.0,Trent Mosley,,,P,Y,,,,,,,,,,,22.0,"Jaion ""Duce"" Smith",0.0,RPO,,4.0,Trent Mosley,,,,,,,,Mission Viejo High School,6,50,,-21,59,1.0
1,9,Run,Rush,6.0,O,SMHS,MVHS,,,,,0,21,-21,9,M,7,BAL,POPEYE,POWER,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,110,3,POPEYE,,,,,,,4.0,Trent Mosley,,Y,,,,,,,,,,,4.0,Trent Mosley,1.0,RUN,,4.0,Trent Mosley,,,,,,,,Mission Viejo High School,6,51,,-21,91,0.0
2,3,Run,Rush,0.0,O,SMHS,MVHS,,,,,0,21,-21,3,M,7,BAL,POPEYE,DIVE,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,111,3,,,,,,,,,,,N,,,,,,,,,,,4.0,Trent Mosley,0.0,RUN,,0.0,Dash Fifita,,,,,,,,Mission Viejo High School,6,52,,-21,97,0.0
3,3,Pass,Complete,-2.0,O,SMHS,MVHS,,,,,0,21,-21,3,L,7,R,KING ON,GIECO,L,,SMHS,Mission Viejo High School,Mission Viejo High School,SMHS,112,3,,X DISCO,R,6.0,Hayes Cloutier,4.0,Trent Mosley,,,WK,N,,,,,,GIECO,,,,,22.0,"Jaion ""Duce"" Smith",0.0,SCREEN,,4.0,Trent Mosley,,,,,,,,Mission Viejo High School,6,53,,-21,97,1.0
